City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,atuona,-9.8,-139.0333,78.04,71,100,21.03,PF,1670074859
1,pangnirtung,66.1451,-65.7125,-4.31,97,99,3.31,CA,1670074859
2,san quintin,30.4833,-115.95,61.72,64,100,1.5,MX,1670074860
3,santa rosa,14.3122,121.1114,84.11,80,95,9.42,PH,1670074860
4,faanui,-16.4833,-151.75,80.42,76,99,20.24,PF,1670074860
5,mataura,-46.1927,168.8643,50.49,96,100,3.47,NZ,1670074861
6,nanortalik,60.1432,-45.2371,32.56,81,100,8.16,GL,1670074861
7,erdenet,49.0333,104.0833,-11.31,90,24,3.69,MN,1670074861
8,waingapu,-9.6567,120.2641,80.15,71,83,5.86,ID,1670074861
9,victoria,22.2855,114.1577,71.94,80,100,8.99,HK,1670074716
10,valparaiso,-33.0393,-71.6273,69.01,73,40,3.44,CL,1670074801
11,qaanaaq,77.484,-69.3632,17.22,62,95,21.97,GL,1670074862
12,vaini,-21.2,-175.2,75.36,94,75,2.3,TO,1670074862
13,flinders,-34.5833,150.8552,57.06,87,0,6.2,AU,1670074862
14,airai,-8.9266,125.4092,60.73,86,97,1.34,TL,1670074863
15,east london,-33.0153,27.9116,70.74,60,0,20.71,ZA,1670074782
16,kachug,53.9606,105.8817,-0.92,95,100,3.51,RU,1670074863
17,adrar,20.5022,-10.0711,80.42,16,0,6.17,MR,1670074863
18,katsuura,35.1333,140.3,58.06,61,100,16.37,JP,1670074864
19,busselton,-33.65,115.3333,61.0,81,16,16.35,AU,1670074864
20,kraksaan,-7.7585,113.3962,79.38,83,83,4.52,ID,1670074864
21,meadville,41.6414,-80.1515,50.86,95,100,13.8,US,1670074865
22,jamestown,42.097,-79.2353,49.71,79,100,11.99,US,1670074865
23,hilo,19.7297,-155.09,74.28,90,100,3.0,US,1670074772
24,pisco,-13.7,-76.2167,66.25,72,5,4.61,PE,1670074865
25,dikson,73.5069,80.5464,11.93,97,100,10.74,RU,1670074865
26,chicama,-7.8447,-79.1469,61.34,69,68,7.09,PE,1670074866
27,springdale,36.1867,-94.1288,32.68,71,100,12.66,US,1670074748
28,korla,41.7597,86.1469,24.06,32,99,2.3,CN,1670074866
29,mumford,5.2618,-0.759,81.55,76,100,13.62,GH,1670074866
30,corowa,-36.0333,146.3833,65.41,82,1,3.22,AU,1670074867
31,ushuaia,-54.8,-68.3,46.06,46,75,6.91,AR,1670074867
32,thompson,55.7435,-97.8558,-21.84,76,0,6.91,CA,1670074867
33,bethel,41.3712,-73.414,54.48,86,100,11.5,US,1670074867
34,new norfolk,-42.7826,147.0587,56.7,72,18,1.25,AU,1670074867
35,albany,42.6001,-73.9662,48.94,80,100,9.04,US,1670074868
36,avarua,-21.2078,-159.775,78.85,94,75,6.91,CK,1670074868
37,hadrut,39.52,47.0318,34.0,99,100,4.7,AZ,1670074868
38,zhezkazgan,47.8043,67.7144,3.18,78,75,8.95,KZ,1670074868
39,punta arenas,-53.15,-70.9167,48.31,43,40,28.77,CL,1670074869
40,carnarvon,-24.8667,113.6333,70.79,77,0,17.9,AU,1670074869
41,kyshtovka,56.555,76.6271,-8.93,94,25,5.41,RU,1670074869
42,hithadhoo,-0.6,73.0833,82.96,70,100,14.27,MV,1670074869
43,cape town,-33.9258,18.4232,73.11,49,20,27.63,ZA,1670074646
44,hobart,-42.8794,147.3294,57.06,88,100,6.91,AU,1670074870
45,bluff,-46.6,168.3333,50.81,76,100,19.48,NZ,1670074870
46,karatau,43.1667,70.4667,24.6,60,75,3.49,KZ,1670074870
47,kaeo,-35.1,173.7833,54.55,92,5,4.56,NZ,1670074871
48,cabo san lucas,22.8909,-109.9124,74.52,72,0,8.05,MX,1670074871
49,kaitangata,-46.2817,169.8464,48.24,92,100,6.58,NZ,1670074871
50,hermanus,-34.4187,19.2345,66.79,55,18,15.66,ZA,1670074871
51,portland,45.5234,-122.6762,39.79,65,100,16.11,US,1670074872
52,huilong,31.8111,121.655,48.92,87,100,16.69,CN,1670074872
53,talnakh,69.4865,88.3972,-11.69,99,54,4.81,RU,1670074872
54,yumen,40.2833,97.2,13.6,85,100,2.08,CN,1670074872
55,marzuq,14.4,46.4667,75.54,27,0,7.67,YE,1670074873
56,mayo,38.8876,-76.5119,53.17,91,100,4.0,US,1670074873
57,bandarbeyla,9.4942,50.8122,79.07,66,0,19.46,SO,1670074873
58,castro,-24.7911,-50.0119,73.85,78,100,5.73,BR,1670074766
59,rikitea,-23.1203,-134.9692,73.35,73,39,16.24,PF,1670074874
60,marysville,48.0518,-122.1771,36.95,90,100,14.97,US,1670074874
61,saint-philippe,-21.3585,55.7679,80.19,76,52,4.68,RE,1670074874
62,ballarat,-37.5662,143.8496,64.58,74,0,3.0,AU,1670074875
63,oranjestad,12.524,-70.027,82.9,74,20,11.5,AW,1670074875
64,balsas,-7.5325,-46.0356,83.12,65,100,8.55,BR,1670074875
65,lagoa,39.05,-27.9833,57.2,66,100,33.15,PT,1670074875
66,chuy,-33.6971,-53.4616,70.5,73,100,4.99,UY,1670074876
67,nanakuli,21.3906,-158.1547,75.45,76,100,0.0,US,1670074876
68,mar del plata,-38.0023,-57.5575,74.95,63,0,12.66,AR,1670074876
69,kihei,20.785,-156.4656,76.84,82,0,3.44,US,1670074877
70,port alfred,-33.5906,26.891,69.19,78,34,8.01,ZA,1670074877
71,damghan,36.1683,54.348,48.4,56,70,5.7,IR,1670074877
72,saint anthony,45.0205,-93.218,5.25,75,0,11.5,US,1670074878
73,makat,47.6469,53.3463,19.24,45,0,15.03,KZ,1670074878
74,bathsheba,13.2167,-59.5167,83.01,83,40,17.27,BB,1670074878
75,pemba,-12.974,40.5178,81.63,72,58,16.22,MZ,1670074878
76,kirakira,-10.4544,161.9205,78.22,83,100,2.64,SB,1670074879
77,huarmey,-10.0681,-78.1522,69.3,80,9,6.96,PE,1670074879
78,khani,41.9563,42.9566,36.97,95,100,2.8,GE,1670074880
79,bam,29.106,58.357,60.03,32,3,5.93,IR,1670074880
80,sept-iles,50.2001,-66.3821,34.23,81,100,12.66,CA,1670074880
81,tuktoyaktuk,69.4541,-133.0374,30.36,90,100,32.82,CA,1670074880
82,dzhebariki-khaya,62.2167,135.8,-38.76,99,98,1.5,RU,1670074881
83,luanda,-8.8368,13.2343,81.3,73,84,10.54,AO,1670074135
84,san patricio,28.017,-97.5169,68.09,92,100,3.96,US,1670074881
85,teya,60.3778,92.6267,-6.75,98,99,4.16,RU,1670074882
86,tasiilaq,65.6145,-37.6368,32.16,95,100,24.79,GL,1670074882
87,ancud,-41.8697,-73.8203,56.26,91,68,12.41,CL,1670074883
88,shishou,29.7226,112.419,43.21,58,100,8.08,CN,1670074883
89,yellowknife,62.456,-114.3525,-21.48,76,100,6.91,CA,1670074883
90,nixa,37.0434,-93.2944,28.74,75,93,5.01,US,1670074884
91,barcelos,41.5388,-8.6151,57.34,51,0,2.3,PT,1670074875
92,arraial do cabo,-22.9661,-42.0278,76.96,83,75,23.02,BR,1670074885
93,kahului,20.8947,-156.47,76.84,81,0,11.01,US,1670074775
94,vao,-22.6667,167.4833,77.13,90,100,5.35,NC,1670074886
95,zheleznodorozhnyy,55.7503,38.0042,19.92,93,99,6.8,RU,1670074886
96,georgetown,5.4112,100.3354,81.23,90,40,5.75,MY,1670074839
97,berdigestyakh,62.0989,126.6992,-24.25,100,100,0.38,RU,1670074886
98,shebalino,51.2917,85.6772,0.79,84,8,5.28,RU,1670074886
99,aketi,2.7388,23.7833,93.99,33,29,3.8,CD,1670074886
100,melilla,35.2937,-2.9383,66.4,63,0,6.91,ES,1670074794
101,tiksi,71.6872,128.8694,-6.48,98,100,23.09,RU,1670074704
102,riyadh,24.6877,46.7219,80.74,25,0,10.92,SA,1670074267
103,barrow,71.2906,-156.7887,24.82,68,100,19.57,US,1670074887
104,yanaul,56.2719,54.9309,-6.32,89,1,2.39,RU,1670074887
105,salalah,17.0151,54.0924,82.49,61,0,5.75,OM,1670074745
106,saquena,-4.6667,-73.5167,83.79,49,100,3.53,PE,1670074888
107,provideniya,64.3833,-173.3,25.66,91,100,11.32,RU,1670074888
108,acapulco,16.8634,-99.8901,77.4,66,85,3.53,MX,1670074819
109,barra do garcas,-15.89,-52.2567,81.18,78,75,4.61,BR,1670074888
110,apollonia,36.9716,24.7231,58.59,72,98,7.43,GR,1670074761
111,northam,51.0333,-4.2167,43.39,80,100,15.66,GB,1670074889
112,norman wells,65.282,-126.8329,23.04,100,100,5.75,CA,1670074889
113,upernavik,72.7868,-56.1549,31.35,80,100,28.7,GL,1670074890
114,asau,46.4333,26.4,31.12,89,84,3.36,RO,1670074890
115,puerto ayora,-0.7393,-90.3518,69.55,91,90,8.01,EC,1670074890
116,berlevag,70.8578,29.0864,30.15,74,32,23.02,NO,1670074890
117,panaba,21.2833,-88.2667,78.71,72,0,11.1,MX,1670074890
118,baykit,61.67,96.37,-5.31,100,97,2.68,RU,1670074891
119,saint-pierre,-21.3393,55.4781,80.28,69,0,10.36,RE,1670074891
120,pocking,48.4,13.3167,41.23,81,100,6.67,DE,1670074891
121,butaritari,3.0707,172.7902,81.41,75,5,18.41,KI,1670074891
122,nome,64.5011,-165.4064,32.07,93,100,0.0,US,1670074892
123,cabedelo,-6.9811,-34.8339,84.87,64,25,15.73,BR,1670074892
124,bengkulu,-3.8004,102.2655,75.24,90,100,4.85,ID,1670074893
125,mahibadhoo,3.7833,72.9667,80.85,78,100,7.65,MV,1670074880
126,sanford,28.8006,-81.2731,70.99,93,0,3.44,US,1670074893
127,nizwa,22.9333,57.5333,76.01,31,21,5.53,OM,1670074894
128,san bartolo,19.1833,-100.05,52.45,78,0,6.2,MX,1670074894
129,lethem,3.3803,-59.7968,84.63,63,100,10.13,GY,1670074894
130,kimberley,-28.7323,24.7623,91.09,12,0,13.8,ZA,1670074894
131,mangrol,21.1167,70.1167,76.23,60,93,5.95,IN,1670074895
132,kapaa,22.0752,-159.319,79.12,85,100,12.66,US,1670074895
133,hastings,50.8552,0.5729,42.98,80,96,18.63,GB,1670074817
134,aden,12.7794,45.0367,79.63,68,9,11.12,YE,1670074674
135,belur,13.1667,75.8667,72.91,69,100,1.52,IN,1670074895
136,namibe,-15.1961,12.1522,75.43,73,17,12.33,AO,1670074895
137,atar,20.5169,-13.0499,84.38,10,0,7.67,MR,1670074896
138,kirkuk,35.4681,44.3922,61.61,63,5,2.28,IQ,1670074710
139,balao,-2.9167,-79.8167,75.63,75,50,3.87,EC,1670074896
140,aswan,24.0934,32.907,79.9,24,0,6.91,EG,1670074896
141,kununurra,-15.7667,128.7333,80.58,47,66,1.14,AU,1670074897
142,ponta do sol,32.6667,-17.1,65.03,68,63,8.61,PT,1670074897
143,maposeni,-10.5833,35.4,80.62,49,97,6.49,TZ,1670074897
144,rio grande,-32.035,-52.0986,75.31,92,100,9.17,BR,1670074854
145,souillac,-20.5167,57.5167,80.98,61,20,8.05,MU,1670074898
146,buala,-8.145,159.5921,78.49,82,92,4.83,SB,1670074898
147,lerwick,60.1545,-1.1494,46.4,77,100,23.15,GB,1670074899
148,talaya,61.3833,152.75,-23.42,99,40,3.89,RU,1670074899
149,felanitx,39.4696,3.1483,61.95,65,77,6.53,ES,1670074899
150,axim,4.8699,-2.2405,81.66,76,96,11.65,GH,1670074899
151,walvis bay,-22.9575,14.5053,77.95,44,0,8.05,NA,1670074900
152,auki,-8.7676,160.7034,76.14,88,100,4.81,SB,1670074900
153,superior,46.7208,-92.1041,2.48,73,0,17.27,US,1670074900
154,anloga,5.7947,0.8973,83.34,72,99,12.53,GH,1670074901
155,mahebourg,-20.4081,57.7,80.89,61,20,8.05,MU,1670074901
156,ribeira grande,38.5167,-28.7,56.77,62,40,6.91,PT,1670074901
157,port macquarie,-31.4333,152.9167,59.9,82,53,1.54,AU,1670074902
158,longyearbyen,78.2186,15.6401,35.44,100,75,16.11,SJ,1670074902
159,mombris,50.0667,9.1667,39.65,85,91,1.99,DE,1670074769
160,nouadhibou,20.931,-17.0347,75.18,53,0,6.91,MR,1670074903
161,aitape,-3.1374,142.3475,78.75,89,100,5.57,PG,1670074903
162,bredasdorp,-34.5322,20.0403,66.65,44,90,14.05,ZA,1670074903
163,ahuimanu,21.4447,-157.8378,75.2,90,75,5.75,US,1670074903
164,mareeba,-17.0,145.4333,74.12,87,31,2.26,AU,1670074904
165,aksu,41.1231,80.2644,24.08,26,14,3.8,CN,1670074904
166,barra patuca,15.8,-84.2833,79.38,80,2,14.45,HN,1670074904
167,orcopampa,-15.2661,-72.3417,50.74,15,1,1.43,PE,1670074904
168,tazmalt,36.3868,4.3989,60.53,41,47,9.62,DZ,1670074904
169,leh,34.1667,77.5833,24.08,47,2,2.57,IN,1670074905
170,leningradskiy,69.3833,178.4167,2.26,76,96,9.31,RU,1670074841
171,port elizabeth,-33.918,25.5701,70.11,71,20,25.32,ZA,1670074675
172,tuatapere,-46.1333,167.6833,47.5,85,100,6.91,NZ,1670074905
173,paranhos,-23.8928,-55.4311,82.11,60,100,5.46,BR,1670074905
174,praia da vitoria,38.7333,-27.0667,55.76,76,75,35.9,PT,1670074906
175,anadyr,64.75,177.4833,16.3,72,0,2.24,RU,1670074906
176,vilcun,-38.65,-72.2333,57.94,71,91,5.3,CL,1670074906
177,salta,-24.7859,-65.4117,78.58,40,20,4.61,AR,1670074906
178,khatanga,71.9667,102.5,-3.14,96,100,13.56,RU,1670074907
179,deputatskiy,69.3,139.9,-14.71,86,97,18.7,RU,1670074907
180,burnie,-41.0667,145.9167,56.95,92,7,3.11,AU,1670074907
181,ulladulla,-35.35,150.4667,56.43,90,1,4.34,AU,1670074908
182,taoudenni,22.6783,-3.9836,83.8,13,0,4.07,ML,1670074908
183,cidreira,-30.1811,-50.2056,77.4,81,100,4.72,BR,1670074908
184,vokhma,58.9303,46.7586,5.85,95,100,2.77,RU,1670074908
185,vila franca do campo,37.7167,-25.4333,56.19,79,98,28.79,PT,1670074908
186,mbandaka,0.0487,18.2603,80.24,73,93,1.28,CD,1670074909
187,bahia de caraquez,-0.6,-80.4167,75.38,75,58,2.89,EC,1670074909
188,marsh harbour,26.5412,-77.0636,76.3,59,0,21.36,BS,1670074909
189,port lincoln,-34.7333,135.8667,71.64,44,0,8.79,AU,1670074909
190,tevaitoa,-16.7833,-151.5,80.42,75,100,19.93,PF,1670074909
191,spasskoye,44.6108,132.7969,7.92,67,18,13.15,RU,1670074804
192,bambous virieux,-20.3428,57.7575,80.85,61,20,8.05,MU,1670074910
193,boende,-0.2167,20.8667,79.11,77,97,3.02,CD,1670074910
194,isangel,-19.55,169.2667,80.73,87,100,8.63,VU,1670074910
195,nemuro,43.3236,145.575,41.54,82,100,17.74,JP,1670074910
196,saskylakh,71.9167,114.0833,1.11,92,100,18.86,RU,1670074911
197,maun,-19.9833,23.4167,96.76,20,40,6.91,BW,1670074911
198,kumluca,36.3703,30.2869,64.49,68,36,3.74,TR,1670074911
199,samarai,-10.6167,150.6667,77.85,88,100,8.05,PG,1670074911
200,sao gabriel da cachoeira,-0.1303,-67.0892,73.2,100,100,6.91,BR,1670074912
201,inirida,3.8653,-67.9239,82.81,63,100,0.87,CO,1670074912
202,rio gallegos,-51.6226,-69.2181,53.65,32,20,16.11,AR,1670074680
203,jacmel,18.2342,-72.5347,80.44,53,0,2.24,HT,1670074912
204,whitehorse,60.7161,-135.0538,11.17,85,100,9.22,CA,1670074913
205,the valley,18.217,-63.0578,82.26,65,20,9.22,AI,1670074913
